Date,Open,High,Low,Close,Volume
2022-08-31,4250,4350,4240,4340,191475700
2022-08-30,4250,4300,4250,4260,136627300
2022-08-29,4250,4270,4220,4250,105715200
2022-08-26,4280,4290,4270,4270,87375200
2022-08-25,4280,4300,4270,4270,117653800
2022-08-24,4300,4330,4280,4290,75055900
2022-08-23,4260,4310,4260,4300,107799500
2022-08-22,4320,4330,4270,4270,121124400
2022-08-19,4340,4340,4300,4300,84552100
2022-08-18,4330,4340,4310,4330,138795300
2022-08-16,4350,4350,4270,4280,205432400
2022-08-15,4330,4350,4300,4300,135099400
2022-08-12,4340,4350,4320,4320,104325400
2022-08-11,4380,4410,4340,4350,193329000
2022-08-10,4350,4370,4300,4310,205341100
2022-08-09,4400,4470,4390,4410,181747100
2022-08-08,4360,4400,4340,4370,107242600
2022-08-05,4360,4400,4320,4360,168879400
2022-08-04,4380,4390,4350,4360,96960600
2022-08-03,4410,4420,4350,4380,103426000
2022-08-02,4360,4400,4300,4400,173931200
2022-08-01,4390,4410,4330,4360,200791700
2022-07-29,4390,4430,4340,4360,228669400
2022-07-28,4340,4400,4340,4360,136421400
2022-07-27,4380,4380,4300,4320,88570800
2022-07-26,4270,4350,4260,4330,97709800
2022-07-25,4250,4300,4250,4250,60952800
2022-07-22,4330,4330,4270,4270,86561100
2022-07-21,4300,4310,4230,4310,130405400
2022-07-20,4180,4300,4160,4300,220223600
2022-07-19,4150,4150,4110,4110,122905900
2022-07-18,4110,4140,4080,4140,135284500
2022-07-15,4060,4120,4050,4110,91362800
2022-07-14,4010,4090,4010,4070,188729700
2022-07-13,4110,4130,4030,4060,165745200
2022-07-12,4120,4140,4100,4110,56085200
2022-07-11,4150,4170,4100,4120,80867700
2022-07-08,4090,4200,4050,4200,112914000
2022-07-07,4040,4110,4040,4050,172127500
2022-07-06,4050,4100,4020,4080,125309100
2022-07-05,4040,4160,4040,4090,180648400
2022-07-04,4090,4120,3960,4040,246853600
2022-07-01,4150,4200,4110,4140,154659500
2022-06-30,4120,4220,4120,4150,239939100
2022-06-29,4280,4310,4180,4180,199246800
2022-06-28,4320,4330,4280,4300,161054900
2022-06-27,4310,4330,4270,4280,152449600
2022-06-24,4320,4350,4310,4340,66083900
2022-06-23,4300,4360,4300,4310,127600700
